iter	Passed	Remaining
741	4139	1439
742	4159	1438
743	4163	1432
744	4170	1427
745	4173	1421
746	4176	1414
747	4183	1409
748	4186	1403
749	4189	1396
750	4192	1390
751	4199	1384
752	4215	1382
753	4242	1384
754	4247	1378
755	4250	1371
756	4254	1365
757	4257	1359
758	4264	1354
759	4267	1347
760	4270	1341
761	4273	1334
762	4279	1329
763	4281	1322
764	4285	1316
765	4288	1310
766	4293	1304
767	4301	1299
768	4304	1292
769	4310	1287
770	4313	1281
771	4316	1274
772	4320	1268
773	4329	1264
774	4340	1260
775	4379	1264
776	4385	1258
777	4391	1253
778	4394	1246
779	4401	1241
780	4406	1235
781	4420	1232
782	4424	1226
783	4427	1219
784	4462	1222
785	4465	1215
786	4469	1209
787	4471	1203
788	4474	1196
789	4476	1189
790	4479	1183
791	4485	1177
792	4488	1171
793	4491	1165
794	4494	1159
795	4497	1152
796	4501	1146
797	4504	1140
798	4507	1133
799	4510	1127
800	4514	1121
801	4517	1115
802	4520	1109
803	4523	1102
804	4526	1096
805	4532	1091
806	4537	1085
807	4543	1079
808	4549	1074
809	4551	1067
810	4554	1061
811	4557	1055
812	4561	1049
813	4564	1043
814	4567	1036
815	4574	1031
816	4577	1025
817	4580	1019
818	4583	1012
819	4594	1008
820	4598	1002
821	4602	996
822	4607	990
823	4610	984
824	4614	978
825	4620	973
826	4653	973
827	4656	967
828	4659	961
829	4661	954
830	4668	949
831	4671	943
832	4674	937
833	4677	931
834	4680	924
835	4684	918
836	4686	912
837	4689	906
838	4693	900
839	4700	895
840	4703	889
841	4706	883
842	4709	877
843	4717	871
844	4721	866
845	4723	859
846	4727	854
847	4731	848
848	4735	842
849	4738	836
850	4743	830
851	4746	824
852	4749	818
853	4752	812
854	4754	806
855	4760	800
856	4763	794
857	4766	788
858	4768	782
859	4772	776
860	4776	771
861	4780	765
862	4783	759
863	4786	753
864	4794	748
865	4797	742
866	4800	736
867	4806	731
868	4811	725
869	4813	719
870	4817	713
871	4821	707
872	4825	701
873	4828	696
874	4832	690
875	4839	684
876	4842	679
877	4845	673
878	4848	667
879	4852	661
880	4857	656
881	4859	650
882	4863	644
883	4869	638
884	4872	633
885	4875	627
886	4886	622
887	4889	616
888	4893	610
889	4897	605
890	4901	599
891	4904	593
892	4907	588
893	4911	582
894	4915	576
895	4918	570
896	4922	565
897	4924	559
898	4927	553
899	4930	547
900	4933	542
901	4939	536
902	4941	530
903	4946	525
904	4954	520
905	4957	514
906	4986	511
907	4989	505
908	4992	499
909	4995	494
910	5000	488
